id,time,mood,circumplex.arousal,circumplex.valence,activity,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,frequency_activity,frequency_appCat.builtin,frequency_appCat.communication,frequency_appCat.entertainment,frequency_appCat.finance,frequency_appCat.game,frequency_appCat.office,frequency_appCat.other,frequency_appCat.social,frequency_appCat.travel,frequency_appCat.unknown,frequency_appCat.utilities,frequency_appCat.weather,frequency_call,frequency_circumplex.arousal,frequency_circumplex.valence,frequency_mood,frequency_screen,frequency_sms
AS14.01,2014-04-17,6.625,-0.125,0.625,0.052980723582423395,2.0,0.0,173.25362001017277,378.89281594021367,15.766889246647837,0.0,0.0,0.0,11.930216622366686,99.05363197552883,0.0,0.0,7.79789630606589,0.0,24,113,109,5,0,0,0,5,30,0,0,3,0,2,4,4,4,100,0
AS14.01,2014-04-18,6.8,-0.8,0.8,0.0829672942173181,1.0,0.0,245.28162685592832,279.04257525173654,32.65140949420079,18.120225014109053,0.0,0.0,14.22099347451786,38.57608191257549,8.052747542654089,0.0,11.017706059910552,0.0,24,137,82,9,7,0,0,7,10,3,0,4,0,1,5,5,5,86,0
AS14.01,2014-04-19,7.8,-0.2,1.0,0.08973750840244056,1.0,0.0,204.66311501876962,243.0424522657132,22.246572369963317,14.629379486540472,3.4039934689641567,0.0,9.927926154290263,33.473711121714125,8.358639947008069,0.0,24.475860272117945,0.0,24,124,77,6,6,1,0,5,11,2,0,9,0,1,5,5,5,82,0
AS14.01,2014-04-20,7.25,-0.25,0.75,0.06715729224871149,2.0,2.0,231.59392412508882,295.99405152417455,42.71908194450356,3.663566774321626,0.0,0.0,10.04765235852992,87.87954788304644,0.0,0.0,22.692512212579924,0.0,23,146,87,12,2,0,0,5,24,0,0,10,0,2,4,4,4,89,2
AS14.01,2014-04-21,7.6,-0.2,1.0,0.08779383582763167,2.0,0.0,202.2195844519817,148.5295939420372,10.644762815429186,7.227089750210847,0.0,0.0,12.008503744328085,23.404394651501754,7.164719050350248,0.0,26.763744196136585,0.0,24,103,46,4,3,0,0,5,7,3,0,10,0,2,5,5,5,59,0
AS14.01,2014-04-22,7.4,0.2,1.0,0.08364063635910202,2.0,0.0,315.3623555795081,780.4883133906545,81.34383978902544,11.828627512981244,0.0,0.0,14.411003736766709,75.10798387912942,0.0,0.0,52.457572106257544,0.0,24,183,243,28,6,0,0,6,21,0,0,21,0,2,5,5,5,183,0
AS14.01,2014-04-23,7.6,0.2,1.0,0.04309690941260317,1.0,0.0,235.95595381357583,530.9802500277251,28.403171285381994,5.670423342740872,0.0,0.0,12.290612493129387,38.65978555634996,0.0,0.0,31.23715583735349,0.0,24,142,165,9,3,0,0,6,12,0,0,11,0,1,5,5,5,150,0
AS14.01,2014-04-24,7.6,-0.4,1.0,0.04690396993808948,1.0,0.0,242.6162732226385,513.430354897166,146.56081565235556,13.71105211440586,0.0,0.0,8.736613208819302,127.49954546379338,7.857298269546817,0.0,77.59063962673162,0.0,24,152,150,43,5,0,0,4,35,3,0,31,0,1,5,5,5,107,0
AS14.01,2014-04-25,7.2,-0.2,0.8,0.09775888510315522,2.0,1.0,193.52996045068966,463.129139457945,44.41770786930482,6.195360814452597,0.0,0.0,14.728078376944367,88.69595509112717,8.234257194677813,0.0,40.42947737741203,0.0,24,130,142,13,3,0,0,6,23,3,0,17,0,2,5,5,5,141,1
AS14.01,2014-04-26,7.6,-0.2,1.0,0.1665135946889222,3.0,4.0,186.36776401481086,137.78732330638127,4.840684897957298,7.569434877113447,0.0,0.0,11.52961865876722,14.074950758450559,57.66888592883447,1.4226262903672808,49.57652067632382,0.0,23,99,43,1,4,0,0,5,3,20,1,21,0,3,5,5,5,70,4
AS14.01,2014-04-27,7.5,-0.125,1.0,0.02893122006317208,0.0,0.0,172.9847435777994,147.12722752170603,40.674592686164544,0.0,0.0,0.0,30.784650563479065,4.625058927223418,0.0,0.0,12.314640485671354,0.0,22,82,48,11,0,0,0,10,2,0,0,6,0,0,4,4,4,53,0
AS14.01,2014-04-28,7.6,-0.8,0.8,0.019081350681186746,2.0,0.0,201.37696245289445,290.2425101941671,49.3462007221215,23.695374155240117,0.0,0.0,14.339516374559512,45.37797567996119,0.0,0.0,58.7040678502933,0.0,24,114,85,14,9,0,0,6,12,0,0,22,0,2,5,5,5,89,0
AS14.01,2014-04-29,7.0,0.0,1.0,0.09067746154571393,0.0,0.0,242.0547831919625,244.31421821631756,83.08963085759795,0.0,9.359634291154784,0.0,10.940186029494313,17.34933381535485,5.665175774558316,0.0,47.81500483511981,0.0,24,139,79,24,0,2,0,5,4,2,0,19,0,0,5,5,5,102,0
AS14.01,2014-04-30,7.8,-0.4,0.8,0.12942543734835749,1.0,0.0,193.59966888507418,311.79098739930333,43.677800016325776,17.079309793157215,0.0,0.0,22.509073961285512,19.755338490077467,36.85361849929875,0.0,12.489429463257043,0.0,24,118,104,15,6,0,0,8,9,16,0,5,0,1,5,5,5,115,0
AS14.01,2014-05-01,8.0,-0.4,1.0,0.0357897211437731,7.0,4.0,336.61995375078305,629.2901320580204,27.24017016670585,110.11360134769683,0.0,3.3706694432931967,12.698809818484458,131.80102057487431,0.0,0.0,39.64812488222784,0.0,24,200,201,8,45,0,1,6,34,0,0,15,0,7,5,5,5,191,4
AS14.01,2014-05-02,7.6,-0.2,1.0,0.07023998334115691,0.0,0.0,192.16540202829637,437.3637998063397,23.31405294059956,77.40620059992673,0.0,0.0,10.020358408808546,55.0942160992419,0.0,0.0,3.749883345175168,0.0,24,120,136,6,31,0,0,5,17,0,0,2,0,0,5,5,5,125,0
AS14.01,2014-05-03,8.0,-0.2,1.0,0.06553290310428127,0.0,1.0,146.70269408012078,206.13637468391798,75.72865343296525,20.08622130258011,0.0,0.0,11.010538889097628,25.605610656161915,4.97418567125658,3.437272125799146,12.29053525631187,0.0,24,78,61,22,8,0,0,5,9,1,1,4,0,0,5,5,5,75,1
AS14.01,2014-05-04,8.0,-0.5,1.0,0.11154183572831831,0.0,0.0,184.89498577492546,201.71034196489273,22.24955017770866,0.0,0.0,0.0,10.389603218455992,19.3004085444125,0.0,0.0,0.0,0.0,21,95,64,6,0,0,0,5,5,0,0,0,0,0,4,4,4,64,0
AS14.01,2014-05-05,8.0,-0.5,1.0,0.0075898981944204184,0.0,0.0,75.21163335209718,68.21956812899799,5.766801091323942,0.0,0.0,0.0,0.0,3.26208855929102,0.0,0.0,14.39639593600276,0.0,11,33,22,1,0,0,0,0,1,0,0,4,0,0,0,0,0,13,0
AS14.02,2014-03-20,7.25,-0.5,0.75,0.2032802593758405,10.0,1.0,294.57605542130943,204.02057382371248,19.979541178276985,0.0,0.0,0.0,18.48531255601541,20.129645868831044,0.0,0.0,0.0,0.0,24,148,68,10,0,0,0,8,9,0,0,0,0,10,4,4,4,127,1
AS14.02,2014-03-21,7.5,-0.75,0.75,0.23772835680010193,10.0,1.0,332.4534788184767,191.31604248108096,13.758652815632402,0.0,0.0,0.0,9.298422989769,55.900237758871924,52.23127401037972,0.0,0.0,0.0,24,179,64,3,0,0,0,4,24,18,0,0,0,10,4,4,4,148,1
AS14.02,2014-03-22,6.5,-1.0,-0.5,0.34866264737968095,25.0,1.0,369.43644950638503,232.72105194259098,51.30070392445628,0.0,0.0,0.0,8.815259368157058,80.86348506361429,104.66546965287725,0.0,0.0,0.0,24,214,85,18,0,0,0,4,38,39,0,0,0,25,4,4,4,216,1
AS14.02,2014-03-23,6.25,-1.0,0.0,0.22201763999008545,8.0,1.0,204.72871327510057,145.58016797995873,40.07520275607557,0.0,0.0,0.0,10.509010894456122,23.255548704234975,143.27629666508832,0.0,0.0,0.0,20,117,50,17,0,0,0,4,9,53,0,0,0,8,4,4,4,141,1
AS14.02,2014-03-24,6.4,0.2,-0.2,0.1382339041284796,5.0,0.0,170.60884520748908,170.5833011493266,30.64615270841126,0.0,0.0,0.0,13.840707339928189,30.656128467002105,0.0,0.0,0.0,0.0,24,89,62,11,0,0,0,5,13,0,0,0,0,5,5,5,5,123,0
AS14.02,2014-03-25,7.75,-1.25,0.75,0.19387656671128883,7.0,0.0,307.5156975736781,200.1555704582584,17.3175958951111,0.0,0.0,0.0,11.75619374281545,27.390642417479764,0.0,0.0,0.0,0.0,24,164,73,5,0,0,0,5,13,0,0,0,0,7,4,4,4,167,0
AS14.02,2014-03-26,7.2,-1.2,0.4,0.24232179808705165,5.0,0.0,253.7032455413702,192.27880935116548,61.217111809467056,0.0,0.0,0.0,11.177918100530842,107.16648495905991,0.0,0.0,0.0,0.0,24,129,70,24,0,0,0,5,37,0,0,0,0,5,5,5,5,158,0
AS14.02,2014-03-27,7.25,0.0,0.5,0.19543121605036654,3.0,0.0,220.844679306056,260.9876762829526,29.766579198184992,0.0,0.0,0.0,41.42742602883412,17.712738385986587,0.0,0.0,23.244164071366107,0.0,24,121,91,12,0,0,0,12,8,0,0,15,0,3,4,4,4,174,0
AS14.02,2014-03-28,6.8,-0.6,0.6,0.21768523367300294,8.0,2.0,203.768284230791,168.982069057394,49.233085727822626,0.0,0.0,0.0,24.287866241981195,107.64153643084715,0.0,0.0,0.0,0.0,24,108,66,21,0,0,0,10,41,0,0,0,0,8,5,5,5,150,2
AS14.02,2014-03-29,7.25,-0.75,0.25,0.33569480160373516,4.0,0.0,278.39840686476333,118.08118683186935,18.9596597850695,0.0,0.0,0.0,10.236101951488783,42.24154811456359,75.66770012336038,0.0,0.0,0.0,24,160,41,4,0,0,0,4,13,32,0,0,0,4,4,4,4,142,0
AS14.02,2014-03-30,7.0,-1.0,0.75,0.19891420746634697,10.0,1.0,175.57867976848976,95.20176753066119,67.93236754094738,0.0,0.0,0.0,29.742201825842155,36.88749387313693,0.0,0.0,0.0,0.0,23,96,34,24,0,0,0,15,15,0,0,0,0,10,4,4,4,113,1
AS14.02,2014-03-31,7.2,-0.8,0.4,0.13788535420698925,14.0,2.0,267.4962531744241,243.95182062834476,26.023695677156454,0.0,0.0,0.0,15.30284135920775,46.56589180558697,0.0,0.0,0.0,0.0,24,142,87,12,0,0,0,6,16,0,0,0,0,14,5,5,5,164,2
AS14.02,2014-04-01,7.4,-0.2,0.8,0.22016353634015187,2.0,1.0,284.7049414668766,159.59304664004634,11.352231623258618,0.0,0.0,0.0,26.386301909329365,37.3228228617316,15.703173215000678,0.0,0.0,0.0,24,123,61,5,0,0,0,9,17,6,0,0,0,2,5,5,5,163,1
AS14.02,2014-04-02,6.4,-0.6,-0.2,0.2575640289557515,2.0,0.0,280.0455028609264,259.65911848282735,38.16326702430859,0.0,0.0,0.0,20.16671438114069,57.09001775126627,0.0,0.0,0.0,0.0,24,141,92,14,0,0,0,7,26,0,0,0,0,2,5,5,5,181,0
AS14.02,2014-04-03,5.75,-0.25,0.0,0.26387124957633407,2.0,0.0,263.3244674453799,363.54126203606165,32.69447430114255,0.0,0.0,0.0,12.40372447774012,21.051890765664215,33.090944128761734,0.0,0.0,0.0,24,154,130,13,0,0,0,5,9,12,0,0,0,2,4,4,4,187,0
AS14.02,2014-04-04,6.4,-1.2,0.2,0.1897321207997352,5.0,0.0,209.2140624439978,239.5337788062905,16.811395197341472,0.0,0.0,0.0,26.627611963036006,18.36241780814867,0.0,0.0,0.0,0.0,24,107,84,5,0,0,0,10,8,0,0,0,0,5,5,5,5,151,0
AS14.02,2014-04-05,7.4,0.0,0.6,0.2591391560449845,9.0,1.0,322.88393419071764,244.4408817857974,75.36479051782462,0.0,0.0,0.0,18.186590283992537,31.72678430533561,41.06081677566456,0.0,0.0,0.0,24,180,91,30,0,0,0,8,11,16,0,0,0,9,5,5,5,189,1
AS14.02,2014-04-06,4.5,-1.0,-1.25,0.18683134459560283,6.0,0.0,118.9812404807671,117.34986243497721,36.85501892871195,0.0,0.0,0.0,8.489766579392395,43.82918005197239,0.0,0.0,0.0,0.0,16,61,43,16,0,0,0,4,18,0,0,0,0,6,4,4,4,88,0
AS14.02,2014-04-07,6.8,0.0,0.6,0.12284790700834143,2.0,0.0,224.57104491854716,191.83357667079514,31.159179561353383,0.0,0.0,0.0,17.041061191250716,142.31793723376018,0.0,0.0,0.0,0.0,24,97,63,9,0,0,0,6,53,0,0,0,0,2,5,5,5,157,0
AS14.02,2014-04-08,6.25,-0.25,0.5,0.22026677202920864,10.0,1.0,248.04775589989967,239.1550164435218,17.92688055647094,0.0,0.0,0.0,24.92508701944121,76.03005266641951,0.0,0.0,0.0,0.0,24,138,90,7,0,0,0,10,29,0,0,0,0,10,4,4,4,163,1
AS14.02,2014-04-09,7.25,-0.5,0.25,0.20665142586065868,12.0,1.0,281.5804066439418,219.5081020653637,56.006864920944665,0.0,0.0,0.0,11.596340002732054,30.21497271118296,0.0,0.0,0.0,0.0,24,159,82,19,0,0,0,5,13,0,0,0,0,12,4,4,4,161,1
AS14.02,2014-04-10,7.25,0.25,0.75,0.21158318014317554,1.0,1.0,219.6985883414326,247.93432282507638,64.92941404601832,0.0,0.0,0.0,15.89806797591128,79.14074459494759,29.33288484017703,0.0,1.4086613447010115,0.0,24,124,93,32,0,0,0,5,34,9,0,2,0,1,4,4,4,165,1
AS14.02,2014-04-11,6.5,-0.5,0.5,0.3413175483264235,7.0,1.0,271.63108577699865,245.3315495518327,71.76775817446224,0.0,0.0,0.0,17.67356666470422,53.55798432485687,101.55152906630384,0.0,0.0,0.0,24,147,96,29,0,0,0,6,24,40,0,0,0,7,4,4,4,202,1
AS14.02,2014-04-12,6.0,-2.0,-1.0,0.3070277008367857,6.0,1.0,254.55417927577614,169.8195824858523,0.0,0.0,0.0,0.0,2.4862390950217788,13.93923178225813,49.13523038894401,0.0,2.659010435785003,0.0,24,125,71,0,0,0,0,1,6,20,0,2,0,6,1,1,1,137,1
AS14.02,2014-04-13,7.2,-0.6,0.4,0.2389963008509358,1.0,0.0,105.84386731873686,109.15604649879549,30.62010741592677,0.0,0.0,0.0,12.30584495338749,26.57826300708132,37.9335794997578,0.0,0.0,0.0,24,54,43,15,0,0,0,5,13,18,0,0,0,1,5,5,5,104,0
AS14.02,2014-04-14,8.0,0.75,1.0,0.16311611362896486,8.0,7.0,157.95731860650244,180.2281943116029,28.92872380027545,0.0,0.0,0.0,6.245190700110922,8.482435380199792,0.0,0.0,16.782195955173822,0.0,24,80,66,17,0,0,0,3,3,0,0,9,0,8,4,4,4,96,7
AS14.02,2014-04-15,7.25,-0.5,0.5,0.14908232449071238,14.0,1.0,22.267564943190358,28.25092803466091,5.920884263695228,0.0,0.0,0.0,0.0,4.339098361004266,0.0,0.0,0.0,0.0,12,12,12,4,0,0,0,0,2,0,0,0,0,14,4,4,4,18,1
AS14.02,2014-04-16,6.666666666666667,-0.3333333333333333,0.3333333333333333,0.28123037003382706,16.0,1.0,19.052730902179654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,0,0,0,0,0,0,0,0,0,0,0,16,3,3,3,4,1
AS14.02,2014-04-17,6.5,0.16666666666666666,-0.16666666666666666,0.38362757635683387,10.0,7.0,1.100942904006392,7.24757177685914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,10,3,3,3,3,7
AS14.02,2014-04-18,6.5,0.0,0.0,0.4054651081081644,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,0,0
AS14.02,2014-04-19,5.666666666666667,-0.6666666666666666,-0.3333333333333333,0.4054651081081644,1.0,0.0,2.406043801362276,9.164437924453773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,3,3,3,2,0
AS14.02,2014-04-20,5.0,-0.6666666666666666,0.0,0.06988097118757935,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,3,0,3
AS14.02,2014-04-21,5.5,-0.5,-0.5,0.06988097118757935,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,1,0,0
AS14.02,2014-04-22,5.666666666666667,-1.3333333333333333,-0.3333333333333333,0.06988097118757935,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.326591549868084,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,3,0,0,0,0,15,3,3,3,2,2
AS14.02,2014-04-23,5.5,0.0,0.5,0.1335313926245227,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,2,0,1
AS14.02,2014-04-24,7.0,-0.5,-0.5,0.0339015516756813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0
AS14.02,2014-04-25,9.0,-1.0,1.0,0.0339015516756813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
AS14.03,2014-03-20,9.0,1.0,2.0,0.16268631634493663,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1
AS14.03,2014-03-21,9.0,1.0,2.0,0.16268631634493663,5.0,2.0,23.36908055159909,96.97715312955275,59.517813444603114,0.0,0.0,2.402068371478996,34.28341459572763,0.0,0.0,0.0,0.0,0.0,0,11,38,30,0,0,1,15,0,0,0,0,0,5,2,2,2,50,2
AS14.03,2014-03-22,7.8,0.8,1.0,0.16268631634493663,8.0,1.0,62.14060655346422,72.25847307587769,121.27921117439058,0.0,0.0,0.0,15.876865107488166,0.0,20.223719901107916,0.0,1.6770965609079151,0.0,13,38,35,73,0,0,0,6,0,7,0,1,0,8,5,5,5,72,1
